species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,2023,B1,A1,F,contemporary,60.36629714189768,-15.668736238458424,-52.07137971444082,-86.77692203340182,-22.561652177795718
MB,2023,B1,B1,F,contemporary,59.66229233245093,3.301901473595844,-32.16303530774151,-68.09971355518775,-4.713334241493301
MB,2023,B1,C1,F,contemporary,49.7818817628918,0.14801905738557963,-40.60407043063482,-84.94213092485465,-5.977835311943446
MB,2023,B1,D1,F,contemporary,26.155591129744824,17.242167460096205,11.04036903675929,-6.555027437535734,8.317379924378502
MS,2023,B1,A1,F,contemporary,89.91453460992587,-27.506670361155674,-76.68680763313576,-123.5620513649133,-36.68053775126678
MS,2023,B1,B1,F,contemporary,79.7641015451652,-4.8798120837133405,-53.1195611242862,-101.59742832186754,-13.645471740452347
MS,2023,B1,Eldo,F,contemporary,84.59036819965553,-5.862558643963119,-37.101359632153674,-68.38046308266964,-10.853083394199812
MB,2023,B1,A1,M,contemporary,56.595785628599586,-14.717650952938207,-48.94105993346581,-81.56573346096815,-21.192844212634956
MB,2023,B1,B1,M,contemporary,55.89441597133503,3.116853341078426,-30.22967320939154,-64.01685774929862,-4.403818675766682
MB,2023,B1,C1,M,contemporary,46.62103731766749,0.13900612254875008,-38.14340058958894,-79.82503244303746,-5.578246478608401
MB,2023,B1,D1,M,contemporary,24.47276661728831,16.234394270512475,10.427196963192065,-6.107185112259814,7.842848954576083
MS,2023,B1,A1,M,contemporary,60.82894139475491,-18.80587071278042,-52.48525203663786,-84.57110095415231,-25.063158430887082
MS,2023,B1,B1,M,contemporary,53.63437983343941,-3.328720086913798,-36.3884168796,-69.59596124059215,-9.248698412868487
MS,2023,B1,Eldo,M,contemporary,56.82656416230767,-4.314903604359139,-25.394416662956484,-46.79030241307099,-7.3509214302881665
MB,2024,B1,A1,F,contemporary,65.98176869070811,-127.20976164268272,-174.39136861683178,-192.94695496889125,-125.7339717013613
MB,2024,B1,B1,F,contemporary,69.81962969101257,-90.62114848246455,-141.87450069924998,-174.09464321089715,-93.61506189043213
MB,2024,B1,C1,F,contemporary,56.79674446007434,-91.80393588339253,-150.04427748417808,-190.3650105977938,-89.070468236241
MB,2024,B1,D1,F,contemporary,32.85000668881437,-14.241524406345263,-59.93862606463285,-108.9477865989496,-17.51702779491884
MS,2024,B1,A1,F,contemporary,96.8544047777441,-177.36683889203232,-235.2875968033764,-235.80239966869286,-175.27504629889623
MS,2024,B1,B1,F,contemporary,90.85739568409585,-132.13672525393528,-199.95595250471712,-235.04027779398282,-133.44041092217532
MS,2024,B1,Eldo,F,contemporary,98.02546461331913,-139.17198385859245,-212.5334886969571,-245.47240091421156,-140.2419358963443
MB,2024,B1,A1,M,contemporary,61.858877728487,-119.56825639515934,-163.85305299787188,-181.1674364157081,-118.18405223545105
MB,2024,B1,B1,M,contemporary,65.42621876431743,-85.19036633440997,-133.34043560069344,-163.5532002541692,-87.9899678024349
MB,2024,B1,C1,M,contemporary,53.22023404554928,-86.30662833438524,-141.00792466962932,-178.84130200850106,-83.70418965980014
MB,2024,B1,D1,M,contemporary,30.75953684761256,-13.335423589643067,-56.300797103767636,-102.3765518334345,-16.410992257197673
MS,2024,B1,A1,M,contemporary,65.49929929105876,-121.3683020331619,-160.65280123675248,-160.23313107452387,-119.95034805810016
MS,2024,B1,B1,M,contemporary,61.13127865452477,-90.51322544624459,-136.78211963567918,-160.38220695819987,-91.3169734380794
MS,2024,B1,Eldo,M,contemporary,66.20069827240042,-95.39975426051808,-145.29125767461156,-167.30794497420945,-95.98247478422313
MB,1945,C1,A1,F,historical,73.89462658282854,-31.699411585786343,-104.40828476385857,-176.89869555402396,-41.203980685202254
MB,1945,C1,B1,F,historical,65.73930733943853,-5.145526998272229,-76.50155401470285,-147.76445012425668,-15.602554580441467
MB,1945,C1,C1,F,historical,60.86865569846523,7.813663977066456,-60.18520743982014,-141.65139781353628,-1.66159191911673
MB,1945,C1,D1,F,historical,26.413062486041472,14.303444723776407,16.184049932078103,8.446077050054999,5.538777362904358
MB,1945,C1,A1,M,historical,69.36701319584137,-29.79415051421593,-98.1859109497917,-166.35238649257488,-38.72947711946253
MB,1945,C1,B1,M,historical,61.653409416585866,-4.814981694121559,-71.94059601214184,-138.96069613758488,-14.637588895468893
MB,1945,C1,C1,M,historical,56.9403832027595,7.298037900826692,-56.58436174570924,-133.19570198061442,-1.5136737755308245
MB,1945,C1,D1,M,historical,24.746913703791346,13.459136891572996,15.258532784198021,8.002939436489664,5.217026520917071
MB,1946,C1,A1,F,historical,83.71731934716608,16.170730545112235,-22.228669209661657,-61.0801417926367,9.074752428844965
MB,1946,C1,B1,F,historical,69.96204088369628,45.11193295341569,20.988229043468042,-4.49791957512528,32.46059268071956
