species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,2024,A1,B1,M,contemporary,54.98005040392958,-98.14157958324998,-128.7903194634034,-130.2621756493691,-97.58687758405638
MB,2024,A1,C1,M,contemporary,52.54038449206283,-96.64136274028581,-137.2943825964089,-147.19988258826476,-94.76176139556374
MB,2024,A1,D1,M,contemporary,31.14523227224555,-17.50463099525016,-67.79568725156544,-114.3052147242601,-19.546015532699887
MS,2024,A1,A1,M,contemporary,61.33575163985352,-120.67823891361876,-166.19576465377332,-165.95353014497664,-118.15861623899046
MS,2024,A1,B1,M,contemporary,55.94760400397564,-86.22952105943978,-137.21148989702723,-166.3102928352883,-86.55198261160629
MS,2024,A1,Eldo,M,contemporary,61.94588970956234,-91.83077190377092,-147.035150455739,-174.41758979135165,-92.07262344566314
MB,1945,B1,A1,F,historical,60.84179004951277,-26.20427671938223,-83.61220993353591,-143.22567797094516,-34.23201004262499
MB,1945,B1,B1,F,historical,54.64727004424539,-5.103622853283006,-60.75878503581178,-118.48329286218677,-14.398272446095675
MB,1945,B1,C1,F,historical,49.40660406565977,3.514094568744595,-49.00083717780491,-113.7631262975363,-3.695190573731212
MB,1945,B1,D1,F,historical,21.84557182215023,12.321897663222707,13.889004501436272,4.655788282390303,5.116532807372003
MS,1945,B1,A1,F,historical,103.68902507867216,-50.52272657807003,-141.28826883982552,-235.54006514950515,-63.337428661674416
MS,1945,B1,B1,F,historical,83.84260838259222,-19.99535218731411,-108.67679414865574,-199.4064210233402,-32.91746517361766
MS,1945,B1,Eldo,F,historical,98.6052092297782,-39.32080758678164,-111.54544172026752,-186.2364515017856,-44.65181068531787
MB,1945,B1,A1,M,historical,57.0510651474939,-24.61288856197501,-78.58617680453159,-134.61498909785192,-32.155752339345625
MB,1945,B1,B1,M,historical,51.18063024786409,-4.7723160282220345,-57.103643568257006,-111.36415510183978,-13.497599122318727
MB,1945,B1,C1,M,historical,46.10607676113955,3.242575865983111,-46.041375906221774,-106.91010859828401,-3.4235431001384775
MB,1945,B1,D1,M,historical,20.432149732445367,11.591810841510453,13.098899049816863,4.438429719268592,4.819454740660666
MS,1945,B1,A1,M,historical,70.38229342237442,-34.57165628173183,-96.81789641899283,-161.36880781700128,-43.33832761930738
MS,1945,B1,B1,M,historical,56.49941400889657,-13.636969403206917,-74.4855844161678,-136.65518112083333,-22.426165969598095
MS,1945,B1,Eldo,M,historical,66.067832536257,-27.36199519354446,-76.483053669167,-127.59725203734828,-30.494390833480356
MB,1946,B1,A1,F,historical,69.18431660034165,11.552855435590878,-18.502292424662734,-49.240346852980984,5.234646914710951
MB,1946,B1,B1,F,historical,58.034137160120885,34.85111168412001,15.70945457749093,-4.3694410259144,24.224339480033326
MB,1946,B1,C1,F,historical,57.2765472393021,36.83588712336931,27.783597543599758,11.504945693067341,20.384311082858176
MB,1946,B1,D1,F,historical,26.42265310808425,15.014035095320443,16.41119008824728,17.643121477669098,6.270112234661718
MS,1946,B1,A1,F,historical,115.458669617743,10.344321362265392,-38.03234050601104,-87.09749339462977,1.1134245659446769
MS,1946,B1,B1,F,historical,89.59262442958754,45.66358842797724,12.976614852033862,-19.054795053873402,33.00615081183958
MS,1946,B1,Eldo,F,historical,111.38722972643059,34.34698628290453,-4.537088837749466,-46.64756632400369,20.645744570638175
MB,1946,B1,A1,M,historical,64.88443202225316,10.881463007364559,-17.374496468223498,-46.26973734188755,4.946808830965869
