species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1958,C1,C1,F,historical,7.78955365547244,4.517070397177492,3.974764552848655,1.0474727875836993,0.6898350133416916,7.844397188979154
MB,1958,C1,D1,F,historical,6.6187969493518635,3.857056866456863,3.301496875010055,0.7156497142883347,0.4595676891738792,6.842999223609304
MB,1958,C1,A1,M,historical,13.729511077506071,9.786309977285416,9.172545178308845,4.848946025034966,4.330139833451767,13.663109678598492
MB,1958,C1,B1,M,historical,10.949396423203428,7.229593083393474,6.818260304044843,3.3131314327970722,2.772404279923502,10.904972840426755
MB,1958,C1,C1,M,historical,9.121884899680886,5.3899837899755605,4.766742676299978,1.4147268629189094,1.0137073177224578,9.066030380537217
MB,1958,C1,D1,M,historical,7.786703180840385,4.638854376220005,3.9988954848428193,1.0367183221783645,0.7521876005805906,7.733012935254225
MB,1959,C1,A1,F,historical,11.82921668593544,8.417021371501678,7.827461960754412,3.9618902209909534,3.5338455872194,13.118294823718747
MB,1959,C1,B1,F,historical,9.295103729929213,6.027041920466179,5.64584756745411,2.511707398823128,2.0566800765817366,9.415424000196921
MB,1959,C1,C1,F,historical,7.111668872270129,3.9938842325432593,3.326586055524333,0.6088557666737718,0.2943206704197939,7.1170904700850395
MB,1959,C1,D1,F,historical,6.09402410785284,3.4116105380512756,2.7980676685257,0.37550510492707806,0.11608302291372061,6.155737309618285
MB,1959,C1,A1,M,historical,13.770938068725084,9.875689241304093,9.198821947988751,4.778842923497499,4.29768020454518,13.732138378898853
MB,1959,C1,B1,M,historical,10.865647259659603,7.1376581836756525,6.69920865058132,3.114891273542252,2.601684202642582,10.851175468378292
MB,1959,C1,C1,M,historical,8.349167601809217,4.794047069815879,4.0281333319837875,0.9145098322491031,0.5623798026474894,8.299459708086996
MB,1959,C1,D1,M,historical,7.187513041704384,4.130135210672858,3.425273547688925,0.6488742051892437,0.35990333203343383,7.138494860996427
MB,2015,C1,A1,F,contemporary,13.094637192797245,9.690780552363476,9.05948591728714,5.1153703823323635,4.648700585518479,15.470034817874302
MB,2015,C1,B1,F,contemporary,10.588060357676763,7.248536439048798,6.810331994069431,3.5448881210001777,3.034910774144082,11.407271932985626
MB,2015,C1,C1,F,contemporary,8.425417430738232,5.169382287905612,4.535236139121312,1.501813622235092,1.1196452804060746,8.652437692490551
MB,2015,C1,D1,F,contemporary,7.294506984534213,4.475834207039762,3.883288369804524,1.1564158509536677,0.878721920643788,7.391220842057715
MB,2015,C1,A1,M,contemporary,15.225628023485298,11.337665890596229,10.612426534768524,6.101824073797938,5.577256727669356,15.12970491810989
MB,2015,C1,B1,M,contemporary,12.350425565929596,8.539484869682488,8.035386828554822,4.300818841747825,3.725726301371506,12.311878737236428
MB,2015,C1,C1,M,contemporary,9.855860590764681,6.142819937787159,5.414437980179273,1.9414129555575883,1.5131295002120928,9.807215695099398
